title,field,sales_point
교차하는 페미니즘 : 한국어문학에 나타난 젠더 (무)의식,문학,15
"도스토옙스키의 철도, 칼, 그림",문학,"1,503"
문학 더하기 : 문학의 조건과 변수,문학,35
문학과 의학의 접경 : 의료문학의 이론과 쟁점,문학,90
문학지리학개론,문학,90
바진의 수상록,문학,35
북한문학비평사,문학,29
수용과 창화 : 한중 고대문인의 문학교류,문학,50
수필의 향기,문학,636
역주 해동악부,문학,60
이광수 문학의 심층적 독해 : '근대주의'의 오독을 넘어,문학,128
일제강점기 동시 연구,문학,33
"전향, 순수, 전후, 참여 : 대한민국 문학의 형성과 매체",문학,177
조선후기 기생의 공간과 문화,문학,40
중국고전문예이론,문학,20
"중국문학, 서사로 다시 읽기",문학,68
한국 시극 작품에 나타난 공간성,문학,45
한국문학의 영문학 수용 1922~1954,문학,106
한국의 냉전문화사,문학,198
한일 학문의 역전,문학,145
해독과 해석,문학,20
AI 빅뱅 : 생성 인공지능과 인문학 르네상스,철학/심리학/윤리학,"3,018"
가족이라는 착각 : 얽매이고 상처받은 가족을 치유하는 마음 기술,철학/심리학/윤리학,"1,292"
감정의 늪에서 빠져나오는 중입니다 : 상처에 숨어버린 진짜 마음을 찾는 법,철학/심리학/윤리학,432
감정의 철학 수업,철학/심리학/윤리학,443
공부의 감각,철학/심리학/윤리학,"5,319"
"과거가 남긴 우울 미래가 보낸 불안 : 후회, 자책, 걱정, 초조를 멈추는 심리학",철학/심리학/윤리학,"4,889"
관계를 망치지 않는 대화법 : 후회가 줄고 오해가 풀리는 소통의 기술,철학/심리학/윤리학,975
그렇게 죽지 않는다,철학/심리학/윤리학,"1,308"
나를 알고 싶어서 그림책을 펼쳤습니다,철학/심리학/윤리학,"2,200"
나를 읽는 인문학 수업,철학/심리학/윤리학,629
나의 작은 철학 : 일상의 틈을 우아하게 건너는 법,철학/심리학/윤리학,"2,558"
나이를 이기는 심리학,철학/심리학/윤리학,516
내 머리맡의 사유,철학/심리학/윤리학,303
"내가 살린 환자, 나를 깨운 환자",철학/심리학/윤리학,102
내향인을 위한 심리학 수업 : 오늘도 나를 숨기고 외향인인 척 살아가는 내향형 인간의 해방일지,철학/심리학/윤리학,"1,977"
"논어 속의 사람들, 사람들 속의 논어",철학/심리학/윤리학,188
다석 유영모의 늙은이 풀이,철학/심리학/윤리학,323
"데리다와의 데이트 : 나는 애도한다, 고로 존재한다",철학/심리학/윤리학,"1,317"
들숨에 긍정 날숨에 용기,철학/심리학/윤리학,"7,913"
디베이터 : 디베이팅 세계 챔피언 서보현의 하버드 토론 수업,철학/심리학/윤리학,"6,717"
라이프 인사이드,철학/심리학/윤리학,327
"마음 드라이빙 : 아이 셋 엄마, 대학 초보 운전대를 잡고 운전을 시작하다",철학/심리학/윤리학,44
마지막 끈을 놓기 전에,철학/심리학/윤리학,"1,030"
몸과 마음을 치유하는 공간,철학/심리학/윤리학,184
무기력의 심리학 : 무력감을 털어내고 나답게 사는 심리 처방전,철학/심리학/윤리학,"3,195"
바가와드 기따 : 박경숙이 싼스끄리뜨 원어에서 옮기고 역사적·비평적 주해로 길을 잡음,철학/심리학/윤리학,301
불타는 지구를 그림이 보여주는 것은 아니지만,철학/심리학/윤리학,142
사유의 충돌과 융합,철학/심리학/윤리학,238
성교육 어떻게 할까,철학/심리학/윤리학,"1,179"
성장할 수 있는 용기,철학/심리학/윤리학,"1,897"
세 살 네 살 넛지육아 : 뇌 과학자 아빠의 기발한 육아 전략,철학/심리학/윤리학,359
소크라테스의 가치들,철학/심리학/윤리학,"1,318"
"슬픈 열대, 공생을 향한 야생의 모험",철학/심리학/윤리학,620
시선 과잉 사회,철학/심리학/윤리학,93
"신화, 치유, 인간",철학/심리학/윤리학,618
아리스토텔레스의 악어 : 그림으로 읽는 철학사,철학/심리학/윤리학,237
아픔에도 우선순위가 있나요?,철학/심리학/윤리학,"2,906"
악어의 눈 : 포식자에서 먹이로의 전락,철학/심리학/윤리학,"1,298"
어른의 감정 수업 : 쉽게 상처받고 흔들리는 마음을 단단하게 지켜내는 법,철학/심리학/윤리학,"2,236"
어른이 되어 다시 만나는 철학,철학/심리학/윤리학,81
에릭 번의 감정 수업 : 내 안의 감정을 어떻게 다스릴 것인가,철학/심리학/윤리학,774
"열다섯, 심리학이 필요한 순간",철학/심리학/윤리학,963
오늘도 시작하지 못하는 당신을 위해 : 잘하고 싶어 시작을 망설이는 세상의 모든 완벽주의자들을 위한 진짜 완벽주의 활용법,철학/심리학/윤리학,"1,084"
오늘부터 나를 위해 울기로 했다 : 지나온 삶에 짓눌려 왔던 모든 여성을 위한 마음 수업,철학/심리학/윤리학,564
우리가 폭력이라 부르는 것들 : 교과서에서 배웠지만 잘 몰랐던 폭력 이야기,철학/심리학/윤리학,"1,999"
우리는 모두 생존자입니다,철학/심리학/윤리학,272
우리는 미래를 가져다 쓰고 있다 : 가장 낙관적인 미래를 위해 지금 우리가 해야 할 것,철학/심리학/윤리학,"1,365"
은유가 만드는 삶 : 모든 예술가들이 감춰온 기발함의 기원,철학/심리학/윤리학,"1,222"
은유란 무엇인가 : 천재들의 생각을 훔칠 단 하나의 방법,철학/심리학/윤리학,"2,344"
이웃집 식물상담소 : 식물들이 당신에게 건네는 이야기,철학/심리학/윤리학,"2,412"
익스텐드 마인드 : 창조성은 어떻게 뇌 바깥에서 탄생하는가,철학/심리학/윤리학,"2,106"
인생에 거친 파도가 몰아칠 때,철학/심리학/윤리학,726
일상 채우기 기술,철학/심리학/윤리학,41
지적 대화를 위한 교양인의 기호학,철학/심리학/윤리학,480
청소일로 돈 벌고 있습니다,철학/심리학/윤리학,585
치매의 모든 것,철학/심리학/윤리학,"1,356"
"토론의 힘, 생각의 격 : 교양인을 위한 70가지 시사이슈 찬반토론",철학/심리학/윤리학,"2,258"
"플라톤, 현실국가를 캐묻다",철학/심리학/윤리학,"2,319"
한국인의 사유방법,철학/심리학/윤리학,189
100교시 그림책 수업 : 우리가 학교에서 꼭 배워야 할 모든 것,사회과학,"1,015"
100대 기업 ESG 담당자가 가장 자주 하는 질문,사회과학,667
10대가 가짜 과학에 빠지지 않는 20가지 방법,사회과학,114
10대라면 반드시 알아야 할 교양 개념어 사전 : 수능 세대를 위해 알기 쉽게 풀이한 지식교양 개념들,사회과학,669
2023 한국이 열광할 세계 트렌드,사회과학,846
21세기 상호부조론,사회과학,968
40일간의 산업일주,사회과학,"3,044"
AI 시대 맞춤 수학 공부법 : 부모가 꼭 알아야 할 미래인재 수학 공부의 핵심,사회과학,263
